,Emotion,processed_message
144,joy,blog sit cont dog amp cat etc know lucky tru blog sit content dog amp cat etc know lucky truth
145,surprise,start funny friday wok sick dog start funny friday wake sick dog
146,sadness,nee protect par witch hunt repress mem therapy need protect parent witch hunt repress memory therapy
147,anger,disgust ev assocy wom rac nat disgust even associate woman race nationality
148,anger,laugh bit bit laugh bitterly bitter
149,sadness,know thought wish could us us knew howev much hat first expery would rememb forev know think wish could us us know however much hat first experience would remember forever
150,joy,quit mellow want soft easy look wear begin cold quite mellow want soft easy look wear begin cold
151,fear,told mayb nee tim think indecid thing lat tell maybe need time think indecisive things lately
152,joy,stil genr disserv story resolv art still genre disservice stories resolve artifically
153,joy,alway know art writ nam art mood manitz draw circ dot big dot art lin lik acc mark span piss always know artistic write name artistic mood manitz draw circle dot bigger dot artistic line accent mark spanish piss
154,fear,rememb real terr brazil bus going steep mountain hil sid mountain middl big storm wond going fal remember really terrify brazil bus go steep mountain hill side mountain middle big storm wonder go fall
155,sadness,could whimp thought unlov unc could whimper think unloved uncared
156,surprise,certain going sit tel going person lif ev cury going lif would watch show certainly go sit tell go personal life ever curious go life would watch show
157,surprise,sorry hum post funny sorry humor post funny
158,joy,got foot door fantast world walk run trail fel mountain get foot door fantastic world walk run trail fell mountains
159,anger,say whatev com mind tel direct jeal girl insec lov person trust worthy friend sweet on lov say whatever come mind tell directly jealous girl insecure love person trust worthy friend sweet one love
160,fear,strange com back work on day holiday strange come back work one day holiday
161,anger,clear influ dash happy emy dickinson exampl us dash instead colon sem colon enh rush enjamb sonnet clearly influence dash happiness emily dickinson example use dash instead colons semi colons enhance rush enjambment sonnet
162,sadness,fat thing lif remain control wheth get eat peanut but bread get hom imposs day first world look yet third world hel needy neglect littl girl fatter thing life remain control whether get eat peanut butter bread get home impossible day first world look yet third world hell needy neglect little girls
163,anger,could claim redeem genr leav entir frust point beat head wal eith could claim redeem genre leave entirely frustrate point beat head wall either
164,sadness,sad hopeless sad hopeless
165,fear,get class littl intimid conceiv lit get class little intimidate concept light
166,sadness,stil groggy get routin son still groggy get routine son
167,joy,view going popul fin view go popular fine
168,surprise,want hold shock aw wond forev want hold shock awe wonder forever
169,fear,heard rumo st year exam result fear might on fail hear rumour st year exam result fear might one failures
170,joy,want valu apprecy know peopl lov going anywh ev nat rel chang want value appreciate know people love go anywhere even nature relationship change
171,anger,know day distract know days distract
172,joy,us regul relax mus alway invig afterward use regularly relax music always invigorate afterward
173,anger,distract tend pract ey shut much poss distract tend practice eye shut much possible
174,joy,lik perfect w see youtub influ ev know trend perfect w see youtube influence even know trend
175,fear,spec want tango shy mak quit opposit hard get far enough away get good pic lol specifically want tango shy maks quite opposite hard get far enough away get good pics lol
176,fear,also weird sleep bed two slept also weird sleep bed two sleep
177,sadness,wish okay think ear today thing coop amp restless mad needy wish okay think earlier today thing cooped amp restless make needy
178,joy,lost weight could fit tiny skirt un wear confid lose weight could fit tiny skirt unable wear confident
179,joy,hop bit cre soon miss pres lif blog hope bite creative soon miss presence life blog
180,sadness,fan cur presid conserv mad unwelcom fan current president conservative make unwelcome
181,surprise,enclos vers could weigh much think cury hear od coupl enclose verse could weigh much think curious hear odd couple
182,joy,begin complac lif begin complacent life
183,fear,vuln alon vulnerable alone
184,joy,rememb inspir think fin exampl par remember inspire think fine example parent
185,sadness,lik alway on get pun stupid thing lik chast behav always one get punish stupid things chastise behave
186,joy,real lif perfect right much ask hop everyth would stay really life perfect right much ask hope everything would stay
187,joy,simply cont simply content
188,joy,say cut everyon lif import find comfort solitud medit work project alon say cut everyone life important find comfort solitude meditation work project alone
189,fear,think stupid nerv think stupid nervous
190,joy,hon honor
191,surprise,act god work lif amaz act god work life amaze
192,joy,lik bird fly air carefr man bird fly air carefree manner
193,anger,rev reply mind mak sur reply sound appropry enough person receiv reply offend revise reply mind make sure reply sound appropriate enough person receive reply offend
194,sadness,felt sad friend min died felt someth irrevoc gon away felt sad friend mine die felt something irrevocably go away
195,sadness,died would alex mat regret com visit die would alex matt regretful come visit
196,joy,educ famy support educationg mama papa key educate families support educationg mamas papas key
197,anger,sur lost lik everyon hostil toward hat sure lose everyone hostile toward hate
198,sadness,lik bor sew mak sint easy noth els say fabr us bore sew make since easy nothing else say fabric usage
199,joy,alway lik us origin fragr fresh light scent underwear draw gorg glam gir always use original fragrance freshen lightly scent underwear drawer gorgeously glamorous girly
200,joy,lik tal young man tal work talented young man talented work
201,surprise,cury thing around curious things around
202,joy,reason apart oth liv help becom someth push success success happy reason apart others live help become something push succeed successful happy
203,fear,uncomfort guess uncomfortable guess
204,joy,pretty mellow far whatev heal wound process may get underway pretty mellow far whatever heal wound process may get underway
205,fear,wond sometim wheth ad antagon misunderstand many peopl toward us reluct wholeheart support tradit arm day remembr wonder sometimes whether add antagonism misunderstand many people towards us reluctant wholeheartedly support traditional armistice day remembrances
206,sadness,leg would shitty mil would com around lik alway legs would shitty miles would come around always
207,fear,know unfair react run way explain shak best com right know unfair reaction run ways explain shake best come right
208,love,sery bless support hom amaz seriously bless support home amaze
209,sadness,abus malign most tir nerv anticip dang abuse malign mostly tire nervous anticipate danger
210,fear,pretty restless right typ pretty restless right type
211,love,know gosm touristy plac go montauk are infrequ visit are want head harb gentl caw seagul lap wat wood pil relax breez com wat know gosman touristy place go montauk area infrequent visitors area want head harbor gentle caw seagulls lap water wood pile relax breeze come water
212,sadness,admit hil e card sery exact stressed mom could start hy admit hilarious e card seriously exactly stress moment could start hy
213,sadness,wrot last year dul inartic norm write last year dull inarticulate normal
214,anger,id kick gear irrit mot ev id kick gear irritable motivation ever
215,joy,child innoc illust child innocent illustrate
216,love,satisfact long support contribut loot driv consum mad walk corps americ rev young satisfaction longer support contribute looter drive consumerism make walk corpse america revere younger
217,anger,start res start resentful
218,sadness,spend vac oblig headach lik emot blackmail three plac spend vacation obligations headaches emotional blackmail three place
219,surprise,herp com would surpr point mak checkup clin wednesday herpes come would surprise point make checkup clinic wednesday
220,anger,fuck lik everyday lif fuck everyday life
221,joy,work real hard year try mak child class lik valu work really hard year try make child class value
222,sadness,disheart word lat dishearten word late
223,anger,lik bitchy tim upon retrospect think try shak bitchy time upon retrospect think try shake
224,joy,stil second guess stil terr tim mak definit decid certain truth know ass truth still second guess still terrible time make definitive decisions certain truths know assure truths
225,joy,lik eg benedict someth eq delicy egg benedict something equally delicious
226,joy,way trust way trust
227,joy,inspir summery el favorit past tim beach bummin inspire summery elements favorite past time beach bummin
228,joy,smil lov ev gorg smile love even gorgeous
229,sadness,continu defin discov hom mean amsterdam whenev pang blank sick lin miss cult mindset am city lif much diff cult mindset amsterdam continue define discover home mean amsterdam whenever pang blank sickness line miss cultural mindset american city life much different cultural mindset amsterdam
230,joy,mak arcad simpl purpos try mak absolv comfort phys emot pract absolv make arcade simple purpose try make absolutely comfortable physically emotionally practically absolutely
231,love,say sympathet say sympathetic
232,joy,eag hop tub rid ey london eager hop tube ride eye london
233,sadness,go onlin see friend talk anoth on talk ign unlov go online see friend talk another one talk ignore unloved
234,anger,monit say anyth ev com across blog offend pleas stop monitor say anything ever come across blog offend please stop
235,surprise,lik weird cant on tim weird cancer one time
236,joy,want saf wel mayb mayb smal chant joy dream com tru want safe well maybe maybe small chance joy dream come true
237,anger,cranky cranky
238,joy,also think puzzl particul admin singl pra abl get stud read ssr tim produc us class tim also think puzzle particular administrator single praise ability get students read ssr time productive use class time
239,love,tri fil befriend peopl knew us car nee acceiv ev complet los try fill befriend people know use care need accept even complete loser
240,sadness,stressed alway stress always
241,sadness,rememb anoth cramp also ign remember another cramp also ignore
242,joy,hop mellow wel fed wel slept peac within extern world hope mellow well feed well sleep peace within external world
243,sadness,also learn tak lot effort posit think break tear exhaust guil bet mom also learn take lot effort positive think break tear exhaust guilty better mom
244,sadness,aw hung friend new baby day awful hang friend new baby day
245,joy,relax fin relax fine
246,sadness,suff real pain suffer really pain
247,joy,go sleep giv precy tim someth els lif go sleep give precious time something else life
248,joy,lik neglect belov mom blog neglect beloved mom blog
249,joy,shalt say cos din thing wrot hw keen xxx shalt say cos din thing write hw keen xxx
250,fear,terr lik edg precip star ahead terrify edge precipice star ahead
251,sadness,tot listless exam com gon whol fiv month front un fre tim totally listless exams come go whole five months front uni free time
252,anger,fury right lif advoc tel liv die lobby support polit sympath view furious right life advocate tell live die lobby support politicians sympathic view
253,sadness,abus way abuse way
254,anger,stil pay at distract still pay attention distract
255,love,start third block hot cold ting tim know stil fiv hour examin ahead ide would good start third block hot cold tingly time know still five hours examination ahead idea would good
256,joy,hesit mak suggest outcom would sint hesitant make suggestions outcome would sincere
257,love,terr fond maj prec tim terribly fond majority precise time
258,sadness,gain control dam good aspect person sec gain control damage goods aspects personal security
259,joy,bomb first interview left second interview pretty fan freak tast bomb first interview leave second interview pretty fan freak tastic
260,joy,think kind tak us long build good inv sauc oil spic non per lik chant mak someth delicy without spec go buy every singl item recip think kind take us long build good inventory sauce oil spice non perishables chance make something delicious without specifically go buy every single item recipe
261,joy,adv dad whos childr soon becom teen cool pul kid high school pick smel jalop plant com window advise dads whose children soon become teenagers cool pull kid high school pick smelly jalopy plant come windows
262,sadness,victim drag country head sand tradit hesit cal conserv fear offend real honest god conserv stil think world cre year ago stuff lik skelet remain kind hoax victimize drag country head sand traditionalists hesitate call conservatives fear offend real honest god conservatives still think world create years ago stuff skeletal remain kind hoax
263,joy,would lucky cal mat kit sit min beauty cur would lucky call materials kit site mine beautifully curated
264,sadness,blood prov reason letharg rub low iron prescrib iron tablet blood prove reason lethargic rubbish low iron prescribe iron tablets
265,anger,mind lik mind dang lif mind mind dangerous life
266,love,lik lov everyon least compass toward oth love everyone least compassionate toward others
267,sadness,pun neglect punish neglect
268,love,lik capt beauty lov pol capture beauty lovely polish
269,sadness,lik lost main root less sec emot fin soc lose main root less secure emotionally financially socially
270,sadness,lik bit bullet every tim think stressed ful support decid bite bullet every time think stress fully support decisions
271,sadness,know obnoxy im sound verb tic voic kind nas alway com across lik sharpest tool would espec awkward know know know know obnoxiously immature sound verbal tics voice kind nasal always come across sharpest tool would especially awkward know know know
272,sadness,id terr nightm littl disturb id terrible nightmare little disturb
273,sadness,want walk pass cas custom disturb want walk pass case customers disturb
274,sadness,want suff abl find hop battl help alon want sufferers able find hope battle help alone
275,fear,exceiv reluct go school tomorrow ev though monday timet pretty good exceptionally reluctant go school tomorrow even though monday timetable pretty good
276,joy,fest delicy whe gre night festive delicious wheeeeee great night
277,sadness,look forward beat lik disappoint husband emot pain look forward beat disappointment husband emotional pain
278,sadness,sick crappy sick crappy
279,joy,lik almost convint going pattern almost convince go pattern
280,love,also wear wear dress mak slutty lik ant underwear obvy littl bit edgy mayb littl bit littl bit also wear wear dress make slutty antique underwears obviously little bite edgy maybe little bite little bite
281,sadness,pervers prid self control man stay ord reach tempt hum flesh clos us perverse pride self control manage stay order reach tempt human flesh close us
282,anger,impaty easy annoy out blat defy seem olivia promin charact day impatient easily annoy outrage blatant defiance seem olivias prominent characteristic days
283,sadness,posit giddy kid left morn last off class year littl sad positively giddy kid leave morning last official class year little sad
284,love,support also help jeal supportive also help jealous
285,joy,main lik text lik much clev writ word rath spok mainly text much clever write word rather speak
286,joy,seriou respect priv ord around seriouly respect privacy order around
287,joy,said word devot reliev hear titl deen bandhu fal person becom afraid titl uplift devot consid tru devot hent unworthy benefit aspect person say word devotee relieve hear title deen bandhu fall person become afraid title uplifter devote consider true devotee hence unworthy benefit aspect personality
288,sadness,person pain suff personalities pain suffer
289,joy,guess would lik joseph walt trust car moth fin six month died tim want defend self god mak quiet guess would joseph walt trust care mother finance six months die time want defend self god make quiet
290,sadness,warm start littl letharg warm start little lethargic
291,joy,excel sometim noth espec sint real keen video gam anym watch bit anim movy got lif excelent sometimes nothing especially since really keen video game anymore watch bite anime movies get life
292,joy,wond mast r want eag pleas mast could much enjoy at wrong desir return affect wonder master r want eager please master could much enjoy attentions wrong desire return affections
293,joy,littl bit posit thing quit hard first sav eat quick cost want becom burd boyfriend com end bright inspir thing com little bite positive things quite hard first save eat quickly cost want become burden boyfriend come end brighter inspire things come
294,sadness,rath senty right say lucky max mom rather sentimental right say lucky maxs mom
295,sadness,mak show isol crowd il know wrong ant soc make show isolate crowd ill know wrong anti social
296,sadness,learn turn emot oft find complet blank moth cry continu suicid learn turn emotions often find completely blank mother cry continuously suicidalness
297,love,loy styl loyal style
298,fear,understand may would rath bit vuln homeless london prec way understand may would rather bite vulnerable homeless london precise way
299,sadness,fin stop listless lik wast spac finally stop listless waste space
300,fear,know agit sid effect high dos know agitate side effect high dose
301,joy,shift posit shift positive
302,joy,brav enough brave enough
303,fear,fear thief fear thief
304,joy,clev nov clever nov
305,anger,alway spend money mean dissatisfy exit stor always spend money mean dissatisfy exit store
306,anger,real quit angry really quite angry
307,love,kerry support civil un gay eq kerry support civil unions gay equality
308,sadness,real asham really ashamed
309,surprise,amaz peopl lif amaze people life
310,joy,fin left judg ridic intellig finally leave judge ridicule intelligent
311,anger,start bit insult stranger start bite insult stranger
312,sadness,many day hopeless today light end yellow brick road shin littl bright many days hopeless today light end yellow brick road shin little brighter
313,sadness,act sorrow actually sorrowful
314,anger,see wom wear boot envy want curs see women wear boot envious want curse
315,love,tel togeth apolog mak keep lov bit bit tell together apologize make keep love bits bits
316,surprise,go say impress naom klein right go say impress naomi klein right
317,sadness,beg sens dul cold black unconscy cam begin sense dull cold black unconsciousness come
318,love,suspect less fond priv suspect less fond private
319,joy,hono young wom felt comfort enough ask kind faux hawk thing going back must look dykey enough saf talk honour young woman felt comfortable enough ask kind faux hawk thing go back must look dykey enough safe talk
320,anger,wond cast cavem told perfect part insult comply wonder cast caveman tell perfect part insult compliment
321,joy,convint plu many divers pric tag sur everyon com fund plot light rel econom convince plus many diverse price tag sure everyone come fund plot light relatively economically
322,sadness,empty baby empty baby
323,sadness,stop exhaust href http provokingbeauty stop exhaust href http provokingbeauty
324,joy,font friend font friendly
325,joy,hand bead conscy breath conscy work calm list thing accompl afternoon hand bead consciously breathe consciously work calm list things accomplish afternoon
326,fear,alway intimid peopl espec alway comp peopl ev sint young always intimidate people especially always compare people ever since young
327,sadness,mad rot make rotten
328,anger,start hostil check hemorrhoid start hostile check hemorrhoids
329,joy,lov wear new sho glamo get pair design sho lov box trim com love wear new shoe glamourous get pair designer shoe love box trimmings come
330,love,know larg fact rom sex success hid know largely fact romantic sexual successfully hide
331,joy,lov someth warm hug precy smal precy someon someth love something warmly hug precious small precious someone something
332,joy,far mellow norm far mellow normal
333,joy,becam dismay study peopl wear start lik though outfit gorg bought way become dismay study people wear start though outfit gorgeous buy way
334,joy,want wax draw anyth nee unibrow mayb get rid spar hair creep toward eyelid brav want wax draw anything need unibrow maybe get rid spare hairs creep toward eyelid brave
335,joy,lucky wid li styl bord px list styl outsid margin px px lucky width li style border px list style outside margin px px
336,love,recal high school long watch olymp run st recall high school long watch olympic runners st
337,joy,wok confid watch bodypump dvd gath coach tip compuls cue wake confident watch bodypump dvd gather coach tip compulsory cue
338,fear,say strong alway mak skept first say strong always make skeptical first
339,fear,want talk limit tim phon cur arrang hesit bring want talk limit time phone current arrangment hesitant bring
340,joy,begin good chant might pass begin good chance might pass
341,joy,lik littl control help sweet pea bet know ahead little control help sweet pea better know ahead
342,anger,lik receiv end viol attack receive end violent attack
343,joy,worthwhil docu peopl famili batch fil worthwhile document people familiar batch file
344,joy,espec thank many smal bless lif right especially thankful many small bless life right
345,joy,hop weatherm right forecast stay hom vent rain tomorrow kind cre hop weatherman right forecast stay home venture rain tomorrow kind creative
346,sadness,lik edg microcosm on awkward mom miss party id outsid edge microcosm one awkward moment miss party id outside
347,surprise,bit funny act bite funny actually
348,joy,learnt noth els last two year best way trust instinct learn nothing else last two years best way trust instincts
349,joy,also blossom eag anxy also blossom eager anxiety
350,sadness,burd shar burden share
351,surprise,alway want nemo sid sleep without weird ev though hap oft get always want nemo side sleep without weird even though happen often get
352,joy,outfit heel gorg outfit heel gorgeous
353,fear,confus confuse
354,joy,sess us gav tool nee mov forward lif session useful give tool need move forward life
355,anger,self bring lon child know par newtown griev lost baby selfish bring loneliness child know parent newtown grieve lose baby
356,love,took away disappoint pain gav heart heal lord on lov nev betray nev los loyal ev loy take away disappoint pain give heart heal lord one love never betray never lose loyalty even loyal
